class_id,official_name,prior_status,confidence,source_ref,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,notes
0,Background,neutral,high,sources_csv.class_id=0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Uniform placeholder. Background is not a crop and must not receive a crop calendar.
1,Meadow,defer_to_P_data,low,sources_csv.class_id=1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Aggregated grassland class. Keep uniform until species and management composition are analyzed in train data.
2,Soft winter wheat,draft_from_source_window,high,sources_csv.class_id=2,0.45,0.50,0.75,1.00,1.00,0.95,0.75,0.30,0.25,0.55,0.50,0.45,"Soft prior hypothesis: winter cover and spring development, with a lower post-harvest signal."
3,Corn,broad_draft,medium,sources_csv.class_id=3,0.15,0.15,0.15,0.25,0.60,0.90,1.00,1.00,0.90,0.75,0.30,0.15,Maize envelope mixes grain and forage harvest schedules; do not interpret this as one precise calendar.
4,Winter barley,draft_from_source_window,high,sources_csv.class_id=4,0.45,0.50,0.75,1.00,1.00,0.95,0.55,0.30,0.25,0.50,0.50,0.45,Soft prior hypothesis for winter barley with an earlier harvest window than maize or soybean.
5,Winter rapeseed,draft_from_source_window,high,sources_csv.class_id=5,0.65,0.75,1.00,1.00,0.95,0.75,0.35,0.30,0.55,0.60,0.65,0.65,Autumn-to-spring visibility with a spring flowering peak; regional sowing dates remain uncertain.
6,Spring barley,broad_draft,medium,sources_csv.class_id=6,0.30,0.40,0.65,0.90,1.00,0.95,0.80,0.35,0.25,0.35,0.35,0.30,Spring-sown and possible autumn-sown management are both plausible in France.
7,Sunflower,draft_from_source_window,high,sources_csv.class_id=7,0.15,0.15,0.20,0.45,0.75,1.00,1.00,1.00,0.95,0.70,0.25,0.15,Spring-summer crop envelope with regional and variety-dependent sowing and harvest.
8,Grapevine,draft_from_source_window,medium,sources_csv.class_id=8,0.25,0.25,0.30,0.60,0.80,0.95,1.00,1.00,0.95,0.75,0.45,0.30,Perennial crop envelope. Dormancy and cultivar or region variation must remain represented.
9,Beet,broad_draft,medium,sources_csv.class_id=9,0.10,0.10,0.15,0.45,0.80,1.00,1.00,1.00,0.95,0.85,0.35,0.15,Sugar beet is only a plausible interpretation of the official label; verify the source nomenclature before using this row as external evidence.
10,Winter triticale,draft_from_source_window,high,sources_csv.class_id=10,0.45,0.50,0.75,1.00,1.00,0.95,0.70,0.30,0.25,0.55,0.50,0.45,Soft prior hypothesis for a winter cereal with a spring development and early summer harvest window.
11,Winter durum wheat,draft_from_source_window,high,sources_csv.class_id=11,0.45,0.50,0.75,1.00,1.00,0.95,0.75,0.30,0.25,0.55,0.50,0.45,Winter-sown durum wheat envelope; variety and region can shift development dates.
12,"Fruits, vegetables, flowers",defer_to_P_data,low,sources_csv.class_id=12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Aggregated horticultural class with incompatible crop cycles. Use a uniform placeholder until composition is known.
13,Potatoes,broad_draft,medium,sources_csv.class_id=13,0.10,0.10,0.15,0.45,0.90,1.00,1.00,0.90,0.80,0.40,0.15,0.10,"Early, ware, seed and processing potatoes can have different planting and harvest dates."
14,Leguminous fodder,defer_to_P_data,low,sources_csv.class_id=14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Aggregated forage class with annual or perennial species and repeated cuts. Prefer train-derived evidence.
15,Soybeans,draft_from_source_window,high,sources_csv.class_id=15,0.10,0.10,0.15,0.35,0.75,1.00,1.00,1.00,0.95,0.85,0.30,0.15,Spring-summer crop envelope with maturity-group and latitude uncertainty.
16,Orchard,defer_to_P_data,low,sources_csv.class_id=16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Land-use group rather than one fruit-tree species. Do not inject a single harvest calendar.
17,Mixed cereal,defer_to_P_data,low,sources_csv.class_id=17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Mixture composition is unknown. A single crop calendar would encode an unsupported assumption.
18,Sorghum,broad_draft,medium,sources_csv.class_id=18,0.10,0.10,0.10,0.25,0.65,0.90,1.00,1.00,0.90,0.70,0.25,0.10,Grain and forage sorghum may have different harvest stages; keep the envelope broad.
